q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,storia,authorship,LLM
5,4,5,3,2,4,2,3,4,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
5,4,5,3,2,4,2,4,5,2,3,4,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,3,4,2,2,3,2,3,4,2,2,3,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
5,4,4,3,2,4,2,4,4,3,3,4,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
4,3,4,2,2,3,2,3,4,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,4,5,3,2,4,2,4,5,2,2,3,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
5,4,4,3,2,4,2,4,4,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,4,5,3,2,4,2,4,5,2,2,3,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
5,4,5,3,2,4,2,4,5,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,3,5,3,2,4,2,3,4,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
5,4,5,3,2,4,2,3,4,2,2,3,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
5,4,5,3,2,4,2,4,5,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
5,4,5,3,2,4,3,4,5,2,2,4,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
5,4,5,3,1,4,2,4,5,2,3,4,1,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,3,4,2,1,4,2,3,4,2,2,3,1,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,3,4,2,2,3,2,4,4,2,2,3,2,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
5,4,5,3,1,4,2,4,5,2,2,3,1,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
5,4,5,3,1,4,2,4,5,2,3,4,1,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,4,5,3,2,4,2,4,5,2,2,3,2,NO,SI,NO,NO,SI,4,storia_1,autore_umano,gemma
4,3,4,2,1,3,1,2,3,1,1,2,1,NO,SI,NO,NO,SI,3,storia_1,autore_umano,gemma
