figure_title,group_title,condition_label,metric,estimate,ci_low,ci_high
Aesthetic Evaluation,Beautiful,Human,mean_likert,5.34,5.27,5.42
Aesthetic Evaluation,Beautiful,AI,mean_likert,4.92,4.84,5.0
Aesthetic Evaluation,Beautiful,Human+AI,mean_likert,5.25,5.18,5.32
Aesthetic Evaluation,Fascinating,Human,mean_likert,4.81,4.75,4.88
Aesthetic Evaluation,Fascinating,AI,mean_likert,4.4,4.33,4.47
Aesthetic Evaluation,Fascinating,Human+AI,mean_likert,4.77,4.7,4.84
Aesthetic Evaluation,Interesting,Human,mean_likert,5.24,5.18,5.29
Aesthetic Evaluation,Interesting,AI,mean_likert,4.96,4.9,5.02
Aesthetic Evaluation,Interesting,Human+AI,mean_likert,5.21,5.15,5.26
Aesthetic Evaluation,Romantic,Human,mean_likert,1.91,1.85,1.96
Aesthetic Evaluation,Romantic,AI,mean_likert,1.81,1.77,1.86
Aesthetic Evaluation,Romantic,Human+AI,mean_likert,1.89,1.84,1.94
Aesthetic Evaluation,Boring,Human,mean_likert,1.17,1.14,1.19
Aesthetic Evaluation,Boring,AI,mean_likert,1.45,1.42,1.48
Aesthetic Evaluation,Boring,Human+AI,mean_likert,1.31,1.29,1.34
Aesthetic Evaluation,Engaging,Human,mean_likert,5.25,5.18,5.33
Aesthetic Evaluation,Engaging,AI,mean_likert,4.86,4.77,4.93
Aesthetic Evaluation,Engaging,Human+AI,mean_likert,5.26,5.19,5.33
Aesthetic Evaluation,Exciting,Human,mean_likert,3.2,3.12,3.29
Aesthetic Evaluation,Exciting,AI,mean_likert,2.55,2.47,2.63
Aesthetic Evaluation,Exciting,Human+AI,mean_likert,3.13,3.05,3.22
Aesthetic Evaluation,Amusing,Human,mean_likert,5.03,4.95,5.1
Aesthetic Evaluation,Amusing,AI,mean_likert,4.7,4.62,4.78
Aesthetic Evaluation,Amusing,Human+AI,mean_likert,4.98,4.9,5.05
Aesthetic Evaluation,Pleasant,Human,mean_likert,5.31,5.25,5.37
Aesthetic Evaluation,Pleasant,AI,mean_likert,4.99,4.92,5.06
Aesthetic Evaluation,Pleasant,Human+AI,mean_likert,5.27,5.21,5.34
